Year,Subject,Assessment Description,Student ID,Location,Enrollment Grade,Grade Equivalent,Grade Mismatch,Gender,Ethnicity,Economically Disadvantaged,ELL Eligible,Former ELL,ELL Duration,NYSESLAT Eligible,Disability,Former SWD,NYSAA Eligible,Homeless,In Foster Care,Parent In Armed Forces,Immigrant,Crisis/Disaster Student Displacement Code,Crisis Name,Standard Achieved,Score,Platform,CBT Not Tested Reason
2021-2022,Math,Grade 6 Math,236335634,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 1,581,PBT,
2021-2022,Math,Grade 8 Math,233377654,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 1,595,PBT,
2021-2022,Math,Grade 6 Math,238081855,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,,,,,,,,,,,,,,,Level 2,598,PBT,
2021-2022,Math,Grade 6 Math,245135728,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,White,YES,YES,,,,,,,,,,,,,Level 1,552,PBT,
2021-2022,Math,Grade 7 Math,255949455,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,White,YES,YES,,,YES,,,,,,,,,,Level 2,593,PBT,
2021-2022,Math,Grade 6 Math,255868630,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,White,YES,YES,,,YES,,,,,,,,,,Level 1,547,PBT,
2021-2022,Math,Grade 6 Math,238596266,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,,,,,,,,,,,,,,,Level 3,609,PBT,
2021-2022,Math,Grade 6 Math,247352743,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Asian,YES,YES,,,,,,,,,,,,,Level 2,599,PBT,
2021-2022,Math,Grade 7 Math,235056298,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 1,590,PBT,
2021-2022,Math,Grade 7 Math,245135710,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,White,YES,YES,,,,,,,,,,,,,Level 2,594,PBT,
2021-2022,Math,Grade 8 Math,250319696,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 3,610,PBT,
2021-2022,Math,Grade 6 Math,236644407,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,,,,,,,,,,,,,,,Level 1,586,PBT,
2021-2022,Math,Grade 7 Math,234871507,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 3,616,PBT,
2021-2022,Math,Grade 6 Math,236750501,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Hispanic or Latino,YES,YES,,,,Learning Disability,,,,,,,,,Level 1,579,PBT,
